city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Manila,Philippines,2026-04-01,30.6,26.0,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-02,30.6,26.1,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-03,30.2,26.0,0.0,0,1,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-04,29.5,25.8,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-05,29.6,26.2,0.1,0,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-06,30.6,26.6,0.0,0,1,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-07,29.8,26.8,0.0,1,2,2026-04-02T17:14:41.170839+00:00
Manila,Philippines,2026-04-08,30.7,27.0,0.0,5,1,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-01,31.3,21.7,0.3,3,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-02,32.0,22.3,0.0,3,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-03,32.1,23.4,0.4,15,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-04,33.3,22.1,0.0,5,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-05,33.2,22.5,0.1,10,3,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-06,33.3,23.4,0.0,5,2,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-07,33.9,22.0,0.0,8,2,2026-04-02T17:14:41.170839+00:00
Cebu,Philippines,2026-04-08,32.0,22.3,0.3,15,2,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-01,30.9,19.5,0.0,3,2,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-02,30.7,19.4,0.0,20,3,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-03,31.7,18.4,0.2,23,80,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-04,30.8,19.5,1.6,38,80,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-05,30.1,20.0,4.2,35,95,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-06,31.2,20.1,0.0,13,2,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-07,32.6,17.4,0.0,13,1,2026-04-02T17:14:41.170839+00:00
Davao,Philippines,2026-04-08,33.0,17.8,0.3,15,45,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-01,32.8,25.5,4.1,98,95,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-02,31.9,25.1,1.9,43,95,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-03,33.7,25.4,0.0,13,3,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-04,32.6,25.1,2.2,23,80,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-05,33.7,25.2,2.0,43,80,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-06,32.6,25.7,2.6,50,80,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-07,31.9,25.8,12.3,48,95,2026-04-02T17:14:41.170839+00:00
Singapore,Singapore,2026-04-08,33.3,25.4,5.7,58,95,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-01,30.1,24.5,30.9,85,95,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-02,34.5,25.1,0.0,30,3,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-03,35.4,24.4,0.1,25,3,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-04,32.9,25.8,0.3,50,80,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-05,34.9,25.0,1.6,59,80,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-06,33.1,25.7,3.0,78,3,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-07,33.4,25.3,8.1,70,95,2026-04-02T17:14:41.170839+00:00
Kuala Lumpur,Malaysia,2026-04-08,31.9,26.4,10.2,68,96,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-01,31.2,25.8,6.8,90,95,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-02,32.7,26.5,0.5,88,80,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-03,31.2,27.4,0.1,35,3,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-04,31.5,27.1,1.3,23,80,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-05,31.9,27.4,0.2,18,3,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-06,31.5,27.3,4.2,45,80,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-07,31.7,27.2,9.0,53,95,2026-04-02T17:14:41.170839+00:00
George Town,Malaysia,2026-04-08,31.7,27.9,0.3,30,3,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-01,32.9,25.4,8.5,98,96,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-02,31.6,24.9,2.7,43,95,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-03,33.5,25.5,0.0,13,3,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-04,32.5,25.0,2.3,23,95,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-05,33.6,25.2,2.6,43,95,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-06,32.7,25.6,1.5,50,3,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-07,31.9,25.4,9.0,48,95,2026-04-02T17:14:41.170839+00:00
Johor Bahru,Malaysia,2026-04-08,32.6,25.4,7.2,58,95,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-01,34.6,26.5,0.1,13,2,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-02,34.6,27.7,0.0,13,2,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-03,34.4,27.4,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-04,34.1,27.4,0.0,3,3,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-05,35.7,27.5,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-06,36.2,27.9,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-07,36.8,27.8,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Bangkok,Thailand,2026-04-08,36.2,27.7,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-01,37.6,24.3,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-02,37.9,25.0,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-03,39.0,24.9,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-04,39.3,25.7,0.0,3,3,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-05,38.9,25.8,0.1,0,2,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-06,39.8,25.0,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-07,39.6,24.6,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Chiang Mai,Thailand,2026-04-08,39.5,24.2,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-01,30.4,27.9,8.1,43,96,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-02,31.4,28.5,2.8,65,95,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-03,31.2,28.5,0.0,53,3,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-04,30.3,29.1,0.7,3,80,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-05,30.3,29.3,0.4,18,3,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-06,30.3,28.7,0.7,30,3,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-07,29.7,28.5,7.1,36,80,2026-04-02T17:14:41.170839+00:00
Phuket,Thailand,2026-04-08,30.2,28.9,2.2,20,80,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-01,25.6,22.6,12.7,88,95,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-02,29.8,22.0,0.0,8,3,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-03,32.5,23.8,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-04,29.5,24.5,0.0,5,3,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-05,33.7,23.6,0.0,3,3,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-06,37.5,24.6,0.0,0,45,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-07,34.1,25.0,0.0,3,3,2026-04-02T17:14:41.170839+00:00
Hanoi,Vietnam,2026-04-08,33.0,25.0,0.0,10,3,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-01,34.4,24.9,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-02,34.9,24.7,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-03,34.6,24.5,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-04,35.7,24.1,0.0,0,3,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-05,35.7,24.3,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-06,36.6,25.3,0.0,0,2,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-07,37.3,25.2,0.0,3,2,2026-04-02T17:14:41.170839+00:00
Ho Chi Minh City,Vietnam,2026-04-08,36.6,25.6,0.0,2,3,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-01,33.3,23.0,0.0,33,45,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-02,31.2,22.5,0.0,0,45,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-03,33.0,23.8,0.2,23,3,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-04,35.8,23.9,1.0,28,80,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-05,36.7,23.5,0.6,19,80,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-06,38.5,24.4,0.0,15,3,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-07,37.3,24.2,0.0,3,3,2026-04-02T17:14:41.170839+00:00
Da Nang,Vietnam,2026-04-08,33.8,25.6,0.9,2,3,2026-04-02T17:14:41.170839+00:00
